"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"361342","Familiar de la víctima","Femenino","No hay niñas/os","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-01-01 01:44:31","Ciudad Autónoma de Buenos Aires","02"
"361343","Víctima","Femenino","No hay niñas/os","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Hij@","No había móviles y/o Equipos para realizar la intervención","2018-01-01 13:54:03","Ciudad Autónoma de Buenos Aires","02"
"361344","Comisaría","Femenino","Otro no familiar","Física","23","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-01-01 17:39:14","Ciudad Autónoma de Buenos Aires","02"
"361345","Comisaría","Masculino","No hay niñas/os","Física","34","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-01-01 18:47:48","Ciudad Autónoma de Buenos Aires","02"
"361346","Víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Herman@ de la victima","No había móviles y/o Equipos para realizar la intervención","2018-01-01 19:00:19","Ciudad Autónoma de Buenos Aires","02"
"361347","Comisaría","Femenino","Otro no familiar","Física","29","18 a 29 años","Femenino","2","1","Masculino","Ex espos@/ ex pareja de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-01-01 19:04:15","Ciudad Autónoma de Buenos Aires","02"
"361348","Comisaría","Femenino","Otro no familiar","Física","33","30 a 39 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-01-01 19:07:55","Ciudad Autónoma de Buenos Aires","02"
"108577","Hospital","Femenino","Otro no familiar","Física","34","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Se planificó intervención para otro momento","2018-01-01 19:12:59","Ciudad Autónoma de Buenos Aires","02"
"361349","Comisaría","Femenino","Otro no familiar","Física","31","30 a 39 años","Femenino","3","1","Masculino","Ex espos@/ ex pareja de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-01-01 19:24:16","Ciudad Autónoma de Buenos Aires","02"
"361350","Comisaría","Masculino","Otro no familiar","Física","18","18 a 29 años","Femenino","2","1","Masculino","Ex espos@/ ex pareja de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-01-01 21:37:04","Ciudad Autónoma de Buenos Aires","02"
