"caso_id","llamante_descripcion","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_id"
"416897","Víctima","Femenino","No hay niñas/os","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Pareja de la madre/padre","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 06:50:57","Ciudad Autónoma de Buenos Aires","02"
"416898","Comisaría","Femenino","No hay niñas/os","Física","59","50 a 59 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 07:00:47","Ciudad Autónoma de Buenos Aires","02"
"416899","Víctima","Femenino","NS/NC","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 07:06:50","Ciudad Autónoma de Buenos Aires","02"
"416900","Víctima","Femenino","No hay niñas/os","Física","56","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-07-01 07:10:22","Ciudad Autónoma de Buenos Aires","02"
"416901","Víctima","Femenino","NS/NC","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-07-01 10:13:28","Ciudad Autónoma de Buenos Aires","02"
"416858","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-01 10:34:52","Ciudad Autónoma de Buenos Aires","02"
"416902","Familiar","Masculino","Padre","Psicológica","8","6 a 11 años","Masculino","3","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-07-01 11:25:10","Ciudad Autónoma de Buenos Aires","02"
"416903","Víctima","Masculino","No hay niñas/os","Psicológica","75","Más de 60 años","Masculino","1","1","Femenino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-01 12:11:36","Ciudad Autónoma de Buenos Aires","02"
"416905","Comisaría","Femenino","Madre","Psicológica","41","40 a 49 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 12:32:16","Ciudad Autónoma de Buenos Aires","02"
"416906","Otro/a Particular","Femenino","Otro no familiar","Física","30","30 a 39 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-01 12:34:34","Ciudad Autónoma de Buenos Aires","02"
"416904","Comisaría","Femenino","No hay niñas/os","Física","52","50 a 59 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 12:40:10","Ciudad Autónoma de Buenos Aires","02"
"416907","Víctima","Femenino","No hay niñas/os","Económica","48","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-01 13:11:06","Ciudad Autónoma de Buenos Aires","02"
"416898","Víctima","Femenino","No hay niñas/os","Física","59","50 a 59 años","Femenino","1","1","Masculino","Ex espos@/pareja","Se planificó intervención para otro momento","2019-07-01 13:24:05","Ciudad Autónoma de Buenos Aires","02"
"217467","Víctima","Femenino","Madre","Psicológica","44","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","Se planificó intervención para otro momento","2019-07-01 13:44:59","Ciudad Autónoma de Buenos Aires","02"
"416217","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-01 14:53:47","Ciudad Autónoma de Buenos Aires","02"
"214893","Comisaría","Femenino","No hay niñas/os","Física","47","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-01 15:34:38","Ciudad Autónoma de Buenos Aires","02"
"416917","Víctima","Masculino","No hay niñas/os","Física","60","Más de 60 años","Masculino","1","1","Femenino","Ex espos@/pareja","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-07-01 16:18:19","Ciudad Autónoma de Buenos Aires","02"
"416920","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 17:25:51","Ciudad Autónoma de Buenos Aires","02"
"416921","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","NS/NC","Llamante solicitó información y/o orientación","2019-07-01 17:46:58","Ciudad Autónoma de Buenos Aires","02"
"416856","Víctima","Femenino","NS/NC","Física","16","12 a 17 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-07-01 17:55:21","Ciudad Autónoma de Buenos Aires","02"
"416925","Comisaría","Femenino","Otro no familiar","Física","36","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-01 18:33:42","Ciudad Autónoma de Buenos Aires","02"
"416939","Otro Institucional","Femenino","Otro no familiar","Física","25","18 a 29 años","Femenino","4","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 23:22:28","Ciudad Autónoma de Buenos Aires","02"
"416942","Comisaría","Femenino","Otro no familiar","Psicológica","35","30 a 39 años","Femenino","4","1","Masculino","Padre","La víctima no aceptó la intervención de Equipos Móviles","2019-07-01 23:30:16","Ciudad Autónoma de Buenos Aires","02"
"416895","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-01 23:43:03","Ciudad Autónoma de Buenos Aires","02"
"407091","Comisaría","Femenino","Otro no familiar","Física","27","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Se planificó intervención para otro momento","2019-07-02 07:21:26","Ciudad Autónoma de Buenos Aires","02"
"416944","Vecina/o de la víctima","Femenino","No hay niñas/os","Física","30","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-02 10:22:21","Ciudad Autónoma de Buenos Aires","02"
"416945","Víctima","Femenino","Madre","Económica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-07-02 11:41:01","Ciudad Autónoma de Buenos Aires","02"
"407091","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-02 11:56:00","Ciudad Autónoma de Buenos Aires","02"
"416946","Comisaría","Femenino","No hay niñas/os","Física","43","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-02 12:19:42","Ciudad Autónoma de Buenos Aires","02"
"416948","Comisaría","Femenino","Madre","Física","30","30 a 39 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-02 12:42:55","Ciudad Autónoma de Buenos Aires","02"
"416877","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-02 12:46:15","Ciudad Autónoma de Buenos Aires","02"
"416949","Otro/a Particular","Femenino","No hay niñas/os","Física","75","Más de 60 años","Femenino","1","2","Masculino","Hij@","Llamante solicitó información y/o orientación","2019-07-02 13:42:16","Ciudad Autónoma de Buenos Aires","02"
"416950","Víctima","Femenino","No hay niñas/os","Psicológica","67","Más de 60 años","Femenino","1","1","Femenino","Hij@","Llamante solicitó información y/o orientación","2019-07-02 15:26:17","Ciudad Autónoma de Buenos Aires","02"
"416385","Víctima","Femenino","NS/NC","Psicológica","15","12 a 17 años","Femenino","1","1","Femenino","Madre","Llamante solicitó información y/o orientación","2019-07-02 16:41:07","Ciudad Autónoma de Buenos Aires","02"
"416951","Agresor/a","Femenino","Otro familiar","8.- Explotación Comercial Laboral","50","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-02 16:47:58","Ciudad Autónoma de Buenos Aires","02"
"416953","Otro/a Particular","Masculino","Otro no familiar","Física","Sin Datos","Sin Datos","Masculino","2","2","NS/NC","NS/NC","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-07-02 17:34:09","Ciudad Autónoma de Buenos Aires","02"
"416956","Víctima","Femenino","No hay niñas/os","Física","67","Más de 60 años","Femenino","1","1","Masculino","Hij@","Llamante solicitó información y/o orientación","2019-07-02 18:54:29","Ciudad Autónoma de Buenos Aires","02"
"65232","Víctima","Femenino","No hay niñas/os","Psicológica","43","40 a 49 años","Femenino","1","1","Femenino","Herman@","Llamante solicitó información y/o orientación","2019-07-02 22:13:52","Ciudad Autónoma de Buenos Aires","02"
"416845","Víctima","Femenino","No hay niñas/os","Física","88","Más de 60 años","Femenino","1","1","Masculino","Ex espos@/pareja","Se planificó intervención para otro momento","2019-07-02 23:38:28","Ciudad Autónoma de Buenos Aires","02"
"52087","Víctima","Femenino","Madre","Psicológica","51","50 a 59 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-03 01:50:29","Ciudad Autónoma de Buenos Aires","02"
"416959","Comisaría","Femenino","No hay niñas/os","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Otro conviviente","La víctima no aceptó la intervención de Equipos Móviles","2019-07-03 01:57:26","Ciudad Autónoma de Buenos Aires","02"
"416960","Familiar","Femenino","Otro familiar","Física","15","12 a 17 años","Femenino","1","1","Femenino","Madre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2019-07-03 06:54:25","Ciudad Autónoma de Buenos Aires","02"
"416963","Víctima","Femenino","No hay niñas/os","Física","63","Más de 60 años","Femenino","1","1","Masculino","Hij@","Llamante solicitó información y/o orientación","2019-07-03 09:19:16","Ciudad Autónoma de Buenos Aires","02"
"98656","Víctima","Femenino","Madre","Psicológica","47","40 a 49 años","Femenino","2","1","Femenino","Otro no conviviente","Llamante solicitó información y/o orientación","2019-07-03 11:06:29","Ciudad Autónoma de Buenos Aires","02"
"416964","Víctima","Femenino","NS/NC","Psicológica","79","Más de 60 años","Femenino","1","1","NS/NC","NS/NC","Llamante solicitó información y/o orientación","2019-07-03 11:49:30","Ciudad Autónoma de Buenos Aires","02"
"416898","Víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-07-03 11:51:27","Ciudad Autónoma de Buenos Aires","02"
"222340","Víctima","Femenino","NS/NC","Psicológica","Sin Datos","Sin Datos","Femenino","1","2","Masculino","Padre","Llamante solicitó información y/o orientación","2019-07-03 16:07:16","Ciudad Autónoma de Buenos Aires","02"
"415348","Víctima","Femenino","Madre","Económica","46","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-07-03 16:34:27","Ciudad Autónoma de Buenos Aires","02"
"344018","Comisaría","Femenino","Otro no familiar","No es un caso de violencia Familiar","29","18 a 29 años","Femenino","2","1","Femenino","Pareja de la madre/padre","La víctima no aceptó la intervención de Equipos Móviles","2019-07-03 19:19:12","Ciudad Autónoma de Buenos Aires","02"
"416994","Comisaría","Femenino","No hay niñas/os","Física","50","50 a 59 años","Femenino","1","1","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-03 19:29:41","Ciudad Autónoma de Buenos Aires","02"
"416995","Comisaría","Femenino","No hay niñas/os","Física","20","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2019-07-03 23:59:43","Ciudad Autónoma de Buenos Aires","02"
"415468","Víctima","Masculino","Padre","Psicológica","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-04 07:14:30","Ciudad Autónoma de Buenos Aires","02"
"417005","Víctima","Femenino","NS/NC","Física","Sin Datos","Sin Datos","Femenino","1","1","Femenino","Otro no conviviente","Llamante solicitó información y/o orientación","2019-07-04 07:24:16","Ciudad Autónoma de Buenos Aires","02"
"416845","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-04 09:23:53","Ciudad Autónoma de Buenos Aires","02"
"417010","Comisaría","Femenino","No hay niñas/os","Física","27","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-07-04 09:52:18","Ciudad Autónoma de Buenos Aires","02"
"417029","Comisaría","Femenino","No hay niñas/os","Psicológica","43","40 a 49 años","Femenino","1","2","Masculino","Ex espos@/pareja","La víctima no aceptó la intervención de Equipos Móviles","2019-07-04 11:54:34","Ciudad Autónoma de Buenos Aires","02"
"411873","Víctima","Femenino","Madre","Física","23","18 a 29 años","Femenino","2","3","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2019-07-04 12:16:43","Ciudad Autónoma de Buenos Aires","02"
"417036","Víctima","Femenino","No hay niñas/os","Física","49","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2019-07-04 13:24:50","Ciudad Autónoma de Buenos Aires","02"
"417036","Profesionales PVCV","NS/NC","NS/NC","No es un caso de violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","NS/NC","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2019-07-04 18:59:49","Ciudad Autónoma de Buenos Aires","02"
