"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"362304","Comisaría","Femenino","Otro no familiar","Física","38","30 a 39 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-03-01 01:21:47","Ciudad Autónoma de Buenos Aires","02"
"362305","Comisaría","Masculino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-03-01 02:01:50","Ciudad Autónoma de Buenos Aires","02"
"362306","Comisaría","Femenino","No hay niñas/os","Física","45","40 a 49 años","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-03-01 06:29:54","Ciudad Autónoma de Buenos Aires","02"
"362304","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-03-01 07:49:13","Ciudad Autónoma de Buenos Aires","02"
"362304","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-03-01 08:33:10","Ciudad Autónoma de Buenos Aires","02"
"362307","Otra institución","Masculino","Sin datos","Física","54","50 a 59 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-03-01 13:24:19","Ciudad Autónoma de Buenos Aires","02"
"362308","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-03-01 13:30:55","Ciudad Autónoma de Buenos Aires","02"
"362309","Familiar de la víctima","Femenino","Otro familiar","Física","48","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-03-01 13:45:04","Ciudad Autónoma de Buenos Aires","02"
"359344","Víctima","Femenino","Sin datos","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-03-01 14:57:08","Ciudad Autónoma de Buenos Aires","02"
"362310","Familiar de la víctima","Femenino","No hay niñas/os","Física","74","Más de 60 años","Masculino","1","1","Masculino","Hij@","Llamante solicitó información y/o orientación","2018-03-01 15:02:28","Ciudad Autónoma de Buenos Aires","02"
"362311","Familiar de la víctima","Femenino","Madre","Física","17","12 a 17 años","Masculino","1","1","Femenino","Madre de la víctima","Llamante solicitó información y/o orientación","2018-03-01 15:32:43","Ciudad Autónoma de Buenos Aires","02"
"322952","Familiar de la víctima","NS/NC","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Padre de la víctima","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-03-01 15:59:50","Ciudad Autónoma de Buenos Aires","02"
"177994","Comisaría","Masculino","Otro no familiar","Física","25","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-03-01 16:22:56","Ciudad Autónoma de Buenos Aires","02"
"362313","Otro sobre un caso que no es violencia familiar","Femenino","Madre","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-03-01 19:36:03","Ciudad Autónoma de Buenos Aires","02"
