"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"384473","Comisaría","Masculino","Otro no familiar","Física","29","18 a 29 años","Femenino","4","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-01 01:52:32","Ciudad Autónoma de Buenos Aires","02"
"384474","Comisaría","Masculino","Otro no familiar","Física","30","30 a 39 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-01 07:27:46","Ciudad Autónoma de Buenos Aires","02"
"384470","Otra institución","Femenino","Sin datos","Física","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Se planificó intervención para otro momento","2018-07-01 09:43:55","Ciudad Autónoma de Buenos Aires","02"
"384475","Comisaría","Masculino","No hay niñas/os","Física","39","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-07-01 14:02:29","Ciudad Autónoma de Buenos Aires","02"
"384476","Comisaría","Femenino","Otro no familiar","Física","41","40 a 49 años","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-01 14:57:02","Ciudad Autónoma de Buenos Aires","02"
"384477","Comisaría","Masculino","Otro no familiar","Física","28","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-01 15:33:57","Ciudad Autónoma de Buenos Aires","02"
"384479","Comisaría","Femenino","Otro no familiar","Psicológica","20","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-07-01 16:02:57","Ciudad Autónoma de Buenos Aires","02"
"384478","Hospital","Femenino","Otro no familiar","Física","44","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Se planificó intervención para otro momento","2018-07-01 16:03:38","Ciudad Autónoma de Buenos Aires","02"
"384480","Víctima","Femenino","No hay niñas/os","Psicológica","42","40 a 49 años","Femenino","1","1","Femenino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-01 16:06:42","Ciudad Autónoma de Buenos Aires","02"
"384483","Comisaría","Masculino","Otro no familiar","Física","24","18 a 29 años","Femenino","2","1","Femenino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-07-01 16:36:05","Ciudad Autónoma de Buenos Aires","02"
"359127","Comisaría","Masculino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-07-01 18:08:39","Ciudad Autónoma de Buenos Aires","02"
"384484","Otro sobre un caso que no es violencia familiar","Masculino","No hay niñas/os","Otras","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-07-01 22:55:50","Ciudad Autónoma de Buenos Aires","02"
"384485","Hospital","Femenino","Otro no familiar","Física","26","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-07-02 00:03:28","Ciudad Autónoma de Buenos Aires","02"
"384486","Comisaría","Femenino","Otro no familiar","Física","36","30 a 39 años","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-02 06:54:04","Ciudad Autónoma de Buenos Aires","02"
"384487","Comisaría","Femenino","No hay niñas/os","Física","69","Más de 60 años","Femenino","1","1","Masculino","Hij@","La víctima no aceptó la intervención de Equipos Móviles","2018-07-02 06:58:22","Ciudad Autónoma de Buenos Aires","02"
"384488","Comisaría","Masculino","Otro no familiar","Física","23","18 a 29 años","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-02 07:26:49","Ciudad Autónoma de Buenos Aires","02"
"384489","Comisaría","Masculino","Otro no familiar","Física","27","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-02 07:32:15","Ciudad Autónoma de Buenos Aires","02"
"384470","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-07-02 09:42:20","Ciudad Autónoma de Buenos Aires","02"
"384492","Comisaría","Femenino","Otro no familiar","Física","32","30 a 39 años","Femenino","4","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-07-02 09:52:52","Ciudad Autónoma de Buenos Aires","02"
