"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"344552","Comisaría","Masculino","Otro no familiar","Física","27","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 01:37:54","Ciudad Autónoma de Buenos Aires","02"
"344553","Comisaría","Femenino","Sin datos","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Herman@ de la victima","Llamante solicitó información y/o orientación","2017-01-01 06:42:25","Ciudad Autónoma de Buenos Aires","02"
"344554","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2017-01-01 06:48:28","Ciudad Autónoma de Buenos Aires","02"
"344555","Víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2017-01-01 06:54:03","Ciudad Autónoma de Buenos Aires","02"
"344556","Comisaría","Masculino","Otro no familiar","Psicológica","Sin Datos","Sin Datos","Masculino","1","1","Femenino","Madre de la víctima","Llamante solicitó información y/o orientación","2017-01-01 07:11:25","Ciudad Autónoma de Buenos Aires","02"
"344557","Comisaría","Masculino","Otro no familiar","Física","35","30 a 39 años","Femenino","4","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 07:23:32","Ciudad Autónoma de Buenos Aires","02"
"344558","Comisaría","Masculino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 07:31:25","Ciudad Autónoma de Buenos Aires","02"
"344559","Comisaría","Masculino","Otro no familiar","Física","25","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 07:38:41","Ciudad Autónoma de Buenos Aires","02"
"344560","Comisaría","Femenino","Otro familiar","Física","42","40 a 49 años","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2017-01-01 08:26:53","Ciudad Autónoma de Buenos Aires","02"
"344561","Víctima","Femenino","Madre","Física","53","50 a 59 años","Femenino","3","1","Masculino","Hij@","Llamante solicitó información y/o orientación","2017-01-01 09:00:24","Ciudad Autónoma de Buenos Aires","02"
"344562","Víctima","Femenino","Madre","Psicológica","38","30 a 39 años","Femenino","6","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2017-01-01 10:31:41","Ciudad Autónoma de Buenos Aires","02"
"301481","Víctima","Femenino","No hay niñas/os","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2017-01-01 11:10:11","Ciudad Autónoma de Buenos Aires","02"
"278958","Comisaría","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 11:18:24","Ciudad Autónoma de Buenos Aires","02"
"344563","Comisaría","Masculino","No hay niñas/os","Física","31","30 a 39 años","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","No había móviles y/o Equipos para realizar la intervención","2017-01-01 11:28:07","Ciudad Autónoma de Buenos Aires","02"
"344564","Comisaría","NS/NC","Otro no familiar","Física","60","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2017-01-01 12:12:16","Ciudad Autónoma de Buenos Aires","02"
