"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"407018","Comisaría","Femenino","Sin datos","Física","32","30 a 39 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-10-01 00:54:39","Ciudad Autónoma de Buenos Aires","02"
"197846","Comisaría","Femenino","No hay niñas/os","Física","61","Más de 60 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-10-01 04:00:00","Ciudad Autónoma de Buenos Aires","02"
"407019","Comisaría","Masculino","Madre","Física","34","30 a 39 años","Femenino","2","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-10-01 05:15:54","Ciudad Autónoma de Buenos Aires","02"
"407020","Comisaría","Femenino","Madre","Física","29","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","Llamante solicitó información y/o orientación","2018-10-01 08:04:16","Ciudad Autónoma de Buenos Aires","02"
"199456","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-10-01 09:04:26","Ciudad Autónoma de Buenos Aires","02"
"407021","Hospital","Femenino","Otro no familiar","Física","1","1 a 5 años","Femenino","3","1","Masculino","Padre","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-10-01 09:13:33","Ciudad Autónoma de Buenos Aires","02"
"384652","Víctima","Femenino","Otro familiar","Psicológica","Sin Datos","Sin Datos","Femenino","2","1","Femenino","Hij@","Llamante solicitó información y/o orientación","2018-10-01 10:59:27","Ciudad Autónoma de Buenos Aires","02"
"407039","Víctima","Femenino","Madre","Física","39","30 a 39 años","Femenino","2","1","Masculino","Ex espos@/pareja","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-10-01 11:14:23","Ciudad Autónoma de Buenos Aires","02"
"407039","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-10-01 11:15:58","Ciudad Autónoma de Buenos Aires","02"
"384902","Otra Institución","NS/NC","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","2","1","Masculino","Ex espos@/pareja","Llamante solicitó información y/o orientación","2018-10-01 11:17:17","Ciudad Autónoma de Buenos Aires","02"
