"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"408351","Otro sobre un caso que no es violencia familiar","NS/NC","Sin datos","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-11-01 00:22:09","Ciudad Autónoma de Buenos Aires","02"
"374337","Comisaría","Masculino","Otro no familiar","Física","27","18 a 29 años","NS/NC","3","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-11-01 00:26:27","Ciudad Autónoma de Buenos Aires","02"
"408352","Hospital","Femenino","No hay niñas/os","Psicológica","42","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-11-01 01:22:10","Ciudad Autónoma de Buenos Aires","02"
"408353","Comisaría","Femenino","No hay niñas/os","Física","18","18 a 29 años","Masculino","1","1","Masculino","Herman@","Llamante solicitó información y/o orientación","2018-11-01 05:44:07","Ciudad Autónoma de Buenos Aires","02"
"405634","Vecina/o de la víctima","Femenino","Sin datos","Física","2","1 a 5 años","Femenino","1","2","NS/NC","Padre","Llamante solicitó información y/o orientación","2018-11-01 06:53:15","Ciudad Autónoma de Buenos Aires","02"
"408243","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-11-01 09:09:10","Ciudad Autónoma de Buenos Aires","02"
"408356","Otro sobre un caso que no es violencia familiar","Femenino","Sin datos","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-11-01 09:41:10","Ciudad Autónoma de Buenos Aires","02"
"408363","Comisaría","Masculino","Otro no familiar","Física","42","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-11-01 11:00:24","Ciudad Autónoma de Buenos Aires","02"
"408364","Otra Institución","Femenino","Otro no familiar","Física","22","18 a 29 años","Femenino","3","1","Masculino","Espos@/compañer@ actual","Se planificó intervención para otro momento","2018-11-01 11:03:41","Ciudad Autónoma de Buenos Aires","02"
"408365","Comisaría","Femenino","Madre","Física","18","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","La víctima no aceptó la intervención de Equipos Móviles","2018-11-01 11:04:05","Ciudad Autónoma de Buenos Aires","02"
"359845","Víctima","Femenino","Madre","Psicológica","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Otro no conviviente","Llamante solicitó información y/o orientación","2018-11-01 11:19:21","Ciudad Autónoma de Buenos Aires","02"
"408367","Familiar de la víctima","Masculino","Padre","Física","10","6 a 11 años","Femenino","2","1","Masculino","Pareja de la madre/padre","No intervino equipo móvil por tratarse de un caso fuera de CABA","2018-11-01 11:48:03","Ciudad Autónoma de Buenos Aires","02"
"408143","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-11-01 12:12:14","Ciudad Autónoma de Buenos Aires","02"
"408370","Hospital","Femenino","Madre","Física","42","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-11-01 12:19:55","Ciudad Autónoma de Buenos Aires","02"
"408364","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-11-01 12:59:08","Ciudad Autónoma de Buenos Aires","02"
"408372","Otro Particular","Femenino","No hay niñas/os","Psicológica","90","Más de 60 años","Femenino","1","1","Masculino","Hij@","Está interviniendo o se deriva a otra institución","2018-11-01 13:19:03","Ciudad Autónoma de Buenos Aires","02"
