"caso_id","llamante_quien_llama","llamante_genero","llamante_vinculo_ninios_presentes","violencia_tipo","victima_edad","victima_rango_etario","victima_genero","victima_cantidad","agresor_cantidad","agresor_genero","agresor_relacion_victima","llamado_derivacion","llamado_fecha_hora","llamado_provincia","llamado_provincia_indec_id"
"361875","Víctima","Femenino","Madre","Física","27","18 a 29 años","Femenino","4","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-02-09 13:13:29","Ciudad Autónoma de Buenos Aires","02"
"360115","Víctima","Femenino","No hay niñas/os","Psicológica","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No había móviles y/o Equipos para realizar la intervención","2018-02-09 14:23:30","Ciudad Autónoma de Buenos Aires","02"
"361980","Familiar de la víctima","Femenino","No hay niñas/os","Física","Sin Datos","Sin Datos","Masculino","2","1","Femenino","Ex espos@/ ex pareja de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-02-09 15:24:41","Ciudad Autónoma de Buenos Aires","02"
"289409","Otro sobre un caso que no es violencia familiar","Femenino","Otro no familiar","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-02-09 17:15:11","Ciudad Autónoma de Buenos Aires","02"
"361981","Otro sobre un caso que no es violencia familiar","Femenino","Sin datos","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-02-09 18:27:26","Ciudad Autónoma de Buenos Aires","02"
"361982","Comisaría","Masculino","Otro no familiar","Física","18","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Se planificó intervención para otro momento","2018-02-09 18:55:02","Ciudad Autónoma de Buenos Aires","02"
"361983","Víctima","Femenino","No hay niñas/os","Física","19","18 a 29 años","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","No había móviles y/o Equipos para realizar la intervención","2018-02-09 19:16:35","Ciudad Autónoma de Buenos Aires","02"
"361984","Comisaría","Femenino","No hay niñas/os","Física","47","40 a 49 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-02-09 19:36:03","Ciudad Autónoma de Buenos Aires","02"
"361861","Otro sobre un caso que no es violencia familiar","Masculino","No hay niñas/os","No es un caso de Violencia Familiar","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","No se trata de un caso de violencia familiar","2018-02-01 00:19:47","Ciudad Autónoma de Buenos Aires","02"
"345568","Comisaría","Femenino","No hay niñas/os","Física","17","12 a 17 años","Femenino","2","1","Masculino","Padre de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-02-01 03:06:31","Ciudad Autónoma de Buenos Aires","02"
"188395","Familiar de la víctima","Femenino","Otro familiar","Física","Sin Datos","Sin Datos","Femenino","2","2","Femenino","Madre de la víctima","Llamante solicitó información y/o orientación","2018-02-01 06:41:45","Ciudad Autónoma de Buenos Aires","02"
"361862","Víctima","Femenino","Madre","Física","28","18 a 29 años","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","Llamante solicitó información y/o orientación","2018-02-01 06:44:27","Ciudad Autónoma de Buenos Aires","02"
"361863","Comisaría","Femenino","Otro no familiar","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Espos@/compañer@ actual de la víctima","La víctima no aceptó la intervención de Equipos Móviles","2018-02-01 09:33:49","Ciudad Autónoma de Buenos Aires","02"
"361864","Familiar de la víctima","Masculino","Padre","Psicológica","Sin Datos","Sin Datos","NS/NC","2","1","Masculino","Pareja de la madre/padre de la víctima","Llamante solicitó información y/o orientación","2018-02-01 10:12:47","Ciudad Autónoma de Buenos Aires","02"
"361865","Familiar de la víctima","Femenino","Otro familiar","Psicológica","Sin Datos","Sin Datos","NS/NC","2","2","Masculino","Padre de la víctima","Llamante solicitó información y/o orientación","2018-02-01 11:30:07","Ciudad Autónoma de Buenos Aires","02"
"361707","Familiar de la víctima","Femenino","Otro familiar","Sexual","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Pareja de la madre/padre de la víctima","Llamante solicitó información y/o orientación","2018-02-01 11:54:08","Ciudad Autónoma de Buenos Aires","02"
"218059","Víctima","Femenino","Madre","Física","Sin Datos","Sin Datos","Femenino","1","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-02-01 15:46:23","Ciudad Autónoma de Buenos Aires","02"
"75435","Comisaría","Masculino","Otro no familiar","Psicológica","44","40 a 49 años","Femenino","2","1","Masculino","Ex espos@/ ex pareja de la víctima","Llamante solicitó información y/o orientación","2018-02-01 15:57:17","Ciudad Autónoma de Buenos Aires","02"
"361847","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-02-01 16:09:55","Ciudad Autónoma de Buenos Aires","02"
"361617","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-02-01 16:21:56","Ciudad Autónoma de Buenos Aires","02"
"361867","Comisaría","Femenino","Otro no familiar","Física","60","Más de 60 años","Femenino","1","1","Masculino","Hij@","No había móviles y/o Equipos para realizar la intervención","2018-02-01 16:22:34","Ciudad Autónoma de Buenos Aires","02"
"361868","Otro particular","Masculino","No hay niñas/os","Física","16","12 a 17 años","Femenino","1","1","Masculino","Herman@ de la victima","Llamante solicitó información y/o orientación","2018-02-01 16:50:38","Ciudad Autónoma de Buenos Aires","02"
"361867","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-02-01 18:21:07","Ciudad Autónoma de Buenos Aires","02"
"361766","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-02-01 19:07:36","Ciudad Autónoma de Buenos Aires","02"
"301623","Profesionales PVCV","NS/NC","Sin datos","Sin datos","Sin Datos","Sin Datos","NS/NC","0","0","NS/NC","Ns/Nc","Intervención Equipos Móviles a donde se encontrara la/s víctima/s","2018-02-01 21:03:59","Ciudad Autónoma de Buenos Aires","02"
